188959;LOMBO DE BACALHAU;KG;
100932;LOMBO DE MECA;KG;
101119;LOMBO DE PEIXE PREGO;KG;
189993;LOMBO PIRARUCU;KG;
100574;LULA;KG;
100573;MARISCO;KG;
500532;MEXILHÃO;KG;
100617;OSTRA;KG;
500690;OVA DE PEIXE;KG;
100978;PAELLA;KG;
500169;PEIXE FILE DE ROBALO;KG;
100943;PEIXE TAMBAQUI;KG;
500255;POLVO;KG;
500127;SALMAO DEFUMADO;KG;
500297;SIRÍ DESFIADO;KG;
100572;TAINHA;KG;
188657;TENTÁCULO DE POLVO;KG;
100261;TRUTA;KG;
100958;VIEIRAS;KG;
100789;VONGOLE;KG;
700014;ACHOCOLATADO LIQUIDO 200 ML;UN;
188397;BATATA CHIPS CONGELADA;KG;
100365;BATATA NOISETTE;KG;
100038;BATATA PALITO CONGELADA 7mm;KG;
188334;BATATA RUSTICA CONGELADA;KG;
200992;BEBIDA DE ARROZ;LT;
188433;BEBIDA VEGANA 1LT;LT;
188822;BURRATA;KG;
100556;COPA;KG;
500987;CREAM CHEESE;KG;
100535;CREME DE CEBOLA;KG;
100155;CREME DE LEITE;KG;
188398;CREME DE RICOTA;KG;
101197;IOGURTE DANONINHO 360GR;UN;
700077;IOGURTE 100 GR;UN;
200052;IOGURTE 165 GR;UN;
100343;LEITE CONDENSADO;KG;
101209;LEITE FERMENTADO;UN;
201260;LEITE SEM LACTOSE LT;LT;
200036;LEITE (UN=1L);LT;
500397;LINGUIÇA DEFUMADA;KG;
100909;LOMBO CANADENSE;KG;
188468;MANDIOQUINHA CONGELADA;KG;
100185;MANTEIGA;KG;
100157;MARGARINA;KG;
100536;MORTADELA;KG;
200001;***NAO USAR***ACHOCOLATADO LIQUIDO 200ML;UN;
100209;NATA;KG;
122056;PATE DIVERSOS KG;KG;
100381;PEITO DE FRANGO DEFUMADO;KG;
100718;PEITO DE PERU;KG;
500158;POLENGUINHO;UN;
300349;POLENTA PALITO CONGELADA;KG;
100193;PRESUNTO;KG;
101196;PRESUNTO CRU;KG;
100625;PRESUNTO DE PARMA;KG;
188868;QUEIJO AZUL;KG;
100460;QUEIJO BRIE;KG;
100459;QUEIJO CAMEMBERT;KG;
500100;QUEIJO CATUPIRY;KG;
100451;QUEIJO CHEDDAR;KG;
100788;QUEIJO COALHO;KG;
101006;QUEIJO COLONIAL;KG;
100461;QUEIJO EMMENTAL;KG;
101112;QUEIJO ESTEPE;KG;
190073;QUEIJO FETA;KG;
100189;QUEIJO GORGONZOLA;KG;
100561;QUEIJO GOUDA;KG;
100977;QUEIJO GRANA PADANO;KG;
500704;QUEIJO GRUYERE;KG;
100054;QUEIJO MINAS;KG;
188943;QUEIJO MONTANHES;KG;
100080;QUEIJO MUSSARELA;KG;
100887;QUEIJO MUSSARELA DE BUFALA CEREJA POTE;KG;
100202;QUEIJO MUSSARELA LEITE BUFALA;KG;
100111;QUEIJO PARMESÃO;KG;
101193;QUEIJO PECORINO;KG;
100086;QUEIJO PRATO;KG;
100099;QUEIJO PROVOLONE;KG;
100510;QUEIJO QUARK;KG;
100195;QUEIJO RALADO;KG;
100960;QUEIJO REINO;KG;
100913;QUEIJO RICOTA;KG;
100899;QUEIJO ROQUEFORT;KG;
100204;REQUEIJAO  KG;KG;
100044;SACHET MANTEIGA COM SAL;UNID;
400797;SACHET MANTEIGA SEM SAL;UN;
100730;SACHET QUEIJO RALADO;UNID;
100488;SACHET REQUEIJAO;UNID;
500655;SALAME HAMBURGUES;KG;
100020;SALAME ITALIANO;KG;
101125;SALAME PEPERONI;KG;
188357;SORBETTO MANGA;KG;
100521;SORVETE CONE DIVERSOS;UN;
100167;SORVETE (TODOS SABORES) KG;KG;
100964;TOFU;KG;
100424;ABACATE;KG;
100066;ABACAXI;UNID;
100465;ABOBORA;KG;
100228;ABOBRINHA;KG;
100885;AÇAÍ;KG;
100511;ACELGA;KG;
100192;AGRIAO;UN;
100216;AIPIM;KG;
100786;ALECRIM FRESCO;UN;
100041;ALFACE;UN;
100473;ALFACE AMERICANA;UN;
100331;ALFAFA;UN;
100726;ALHO;KG;
100530;ALHO PORÓ;UN;
100172;AMEIXA;KG;
100622;AMORA;KG;
100888;ASPARGOS CONGELADOS;KG;
100069;BANANA;KG;
100073;BATATA;KG;
100632;BATATA DOCE;KG;
100631;BATATA SALSA;KG;
100070;BERINGELA;KG;
100169;BETERRABA;KG;
100168;BROCOLIS;UN;
100023;BROCOLIS CONGELADO;KG;
500326;BROCOLIS HIBRIDO;UN;
500310;BROTO DE FEIJÃO;KG;
100986;CAJU;KG;
188417;CAPIM LIMAO;UN;
100181;CAQUI;KG;
100466;CARAMBOLA;KG;
100074;CEBOLA;KG;
100720;CEBOLA EM ANEIS;KG;
50291;CEBOLA ROXA;KG;
500213;CEBOLETE;BD;
100153;CENOURA;KG;
122039;CENOURA CONGELADA;KG;
100225;CEREJA KG;KG;
100395;CHICORIA;UN;
100470;CHUCHU;KG;
394484;COENTRO;UN;
100276;COGUMELO FUNGHI SECO;KG;
500233;COGUMELO PARIS;BD;
400152;COGUMELO PARIS KG;KG;
189992;COGUMELO PORTOBELLO;KG;
500126;COGUMELO SHIMEJI;GR;
500137;COGUMELO SHITAKE FRESCO BD;BD;
400189;COGUMELO SHITAKE FRESCO KG;KG;
100938;COUVE BRUXELAS;KG;
100984;COUVE CHINESA;UN;
100159;COUVE FLOR;UN;
188412;COUVE FLOR CONGELADA;KG;
100674;COUVE FOLHA;UNID;
100690;COUVE MINEIRA;UN;
100504;ENDIVIA;UN;
188429;ENDRO;UN;
500687;ERVA DOCE;KG;
100178;ERVILHA CONGELADA;KG;
500412;ERVILHA TORTA;KG;
300188;ESCAROLA;KG;
100503;ESPINAFRE;UN;
128122;ESPINAFRE CONGELADO;KG;
500130;FIGO;KG;
101151;FLOR COMESTIVEL;UN;
100623;FRAMBOESA;KG;
100985;FRUTA DO CONDE;KG;
122049;FRUTAS CONGELADAS KG;KG;
100630;GENGIBRE;KG;
100116;GOIABA;KG;
100333;HORTELA FOLHAS;KG;
394466;INHAME;KG;
101182;JABOTICABA;KG;
100914;KINKAN;KG;
100332;KIWI;KG;
100067;LARANJA;KG;
101155;LICHIA - RAMBUTAN;KG;
100068;LIMAO;KG;
100101;MAÇA;KG;
100064;MAMAO;KG;
394410;MANDIOCA CONGELADA;KG;
100102;MANGA;KG;
100149;MANJERICAO;UN;
100785;MANJERONA;UN;
100150;MARACUJA;KG;
101152;MAXIXE;KG;
100110;MELANCIA;KG;
100065;MELAO;KG;
188410;MILHO CONGELADO;KG;
100380;MILHO VERDE ESPIGA;KG;
100624;MIRTILO;KG;
100565;MORANGA;KG;
100115;MORANGO;BD;
400143;MORANGO (KG);KG;
188167;MOSTARDA FOLHA;UN;
100264;NABO BRANCO;KG;
100490;NECTARINA;KG;
100072;OVOS;UNID;
100262;PEPINO SALADA;KG;
100163;PERA;KG;
100166;PESSEGO;KG;
101163;PHYSALIS;UN;
100737;PIMENTA DEDO DE MOÇA;BD;
100160;PIMENTAO AMARELO/VERMELHO;KG;
100135;PIMENTAO VERDE;KG;
100611;PINHAO;KG;
101154;PITAIA;KG;
101153;PYSALIS;UN;
300179;QUIABO;KG;
100152;RABANETE;KG;
300148;RADITE;KG;
100329;RADITE ROXO;PC;
100330;REPOLHO BRANCO;UN;
100266;REPOLHO ROXO;UN;
101175;ROMÃ;UN;
100188;RUCULA;UN;
100610;SALSAO;UN;
100154;SALSINHA/CEBOLINHA;UN;
100024;SELETA DE LEGUMES;KG;
100995;TAMARAS;KG;
100983;TAMARINDO;KG;
100133;TANGERINA/POKAN;KG;
100398;TEMPEROS VERDES DIVERSOS;KG;
100071;TOMATE;KG;
100633;TOMATE CEREJA;KG;
100235;TOMILHO FRESCO;KG;
100114;UVA;KG;
100184;VAGEM;KG;
188411;VAGEM CONGELADA;KG;
100304;ACAFRAO;KG;
500247;ACETO BALSÂMICO;LT;
188338;ADOBO FOCO 100G;KG;
122011;ADOBO KG;KG;
100950;AJINOMOTO;KG;
100384;ALCACHOFRA;KG;
100270;ALECRIM SECO;KG;
100017;ALHO SECO GRANULADO (KG);KG;
100221;AMACIANTE DE CARNE;KG;
100970;ANIS ESTRELADO;KG;
500180;AZEITE DE OLIVA COMPOSTO;LT;
100316;AZEITE DE OLIVA (LITRO);LT;
100783;AZEITE DENDE;LT;
300067;AZEITE DENDE;LT;
600197;AZEITE EXTRA VIRGEM;LT;
100974;AZEITE TRUFADO;LT;
500365;BICARBONATO DE SODIO;KG;
100092;CALDO DE CARNE (KG);KG;
100600;CALDO DE FRUTOS DO MAR;KG;
100275;CALDO DE GALINHA (KG);KG;
100741;CALDO DE LEGUMES (KG);KG;
100307;CANELA EM CASCA;KG;
100078;CANELA EM PO;KG;
100273;CATCHUP;KG;
100635;CHIMICHURRI;KG;
100319;COGUMELO SCHITAKE SECO;KG;
100734;COLORAL;KG;
100515;COLORANTE;KG;
100334;COMINHO EM PO;KG;
188333;CONDIMENTO BALSAMICO BRANCO 500ML;LT;
100268;CRAVO DA INDIA;KG;
100993;CURCUMA;KG;
100271;CURRY;KG;
100218;ERVAS FINAS DIVERSAS;KG;
100595;ESSENCIA DE BAUNILHA;LT;
100929;ESSENCIA DE COCO;LT;
100145;EXTRATO DE TOMATE;KG;
500641;FLOR DE SAL;KG;
